DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2023-04-27                22:54:47.369              116.62138160              2798.913158               117.62138160              1682636087.370            65536                     16448                     1.4000810444E+002         4.4838127136E+001         3.3812500000E+001         4.5311790466E+001         4.5006309509E+001         2.0000000000E+000         0.0000000000E+000         3.1206773872E+004         0.0000000000E+000         1.9641039974E+000         1.9790224265E+000         4.1727521225E+002         4.2111053377E+002         5.8780363971E-001         7.4730253610E-001         
2023-04-27                22:54:48.272              116.62139204              2798.913409               117.62139204              1682636088.272            65536                     16448                     1.4000023868E+002         4.4838127136E+001         3.3812500000E+001         4.5311790466E+001         4.5006309509E+001         1.0000000000E+000         0.0000000000E+000         3.1206412982E+004         0.0000000000E+000         1.9641039974E+000         1.9790224265E+000         4.1722927572E+002         4.2111053377E+002         5.8780363971E-001         7.4730253610E-001         
2023-04-27                22:54:48.773              116.62139785              2798.913548               117.62139785              1682636088.774            65536                     16448                     1.3999485779E+002         4.4838127136E+001         3.3812500000E+001         4.5311790466E+001         4.5006309509E+001         3.0000000000E+000         0.0000000000E+000         3.1204480469E+004         0.0000000000E+000         1.9641039974E+000         1.9788918312E+000         4.1722927572E+002         4.2106846690E+002         5.8790355233E-001         7.4742724966E-001         
2023-04-27                22:54:50.206              116.62141442              2798.913946               117.62141442              1682636090.206            65536                     16448                     1.4001320365E+002         4.4849357605E+001         3.3812500000E+001         4.5311851501E+001         4.5006614685E+001         2.0000000000E+000         0.0000000000E+000         3.1214648928E+004         0.0000000000E+000         1.9642142279E+000         1.9788918312E+000         4.1722927572E+002         4.2106846690E+002         5.8790355233E-001         7.4742724966E-001         
2023-04-27                22:54:51.118              116.62142499              2798.914200               117.62142499              1682636091.119            65536                     16448                     1.4000087784E+002         4.4849357605E+001         3.3844958564E+001         4.5311851501E+001         4.5006614685E+001         1.0000000000E+000         0.0000000000E+000         3.1211937964E+004         0.0000000000E+000         1.9642142279E+000         1.9788918312E+000         4.1723072777E+002         4.2106846690E+002         5.8790355233E-001         7.4742724966E-001         
2023-04-27                22:54:51.628              116.62143089              2798.914341               117.62143089              1682636091.629            65536                     16448                     1.4002401733E+002         4.4849357605E+001         3.3812500000E+001         4.5311851501E+001         4.5006614685E+001         3.0000000000E+000         0.0000000000E+000         3.1218939453E+004         0.0000000000E+000         1.9642142279E+000         1.9790171271E+000         4.1723072777E+002         4.2107362857E+002         5.8892762349E-001         7.4870547860E-001         
2023-04-27                22:54:53.063              116.62144750              2798.914740               117.62144750              1682636093.064            65536                     16448                     1.3998505565E+002         4.4849357605E+001         3.3849803665E+001         4.5311851501E+001         4.5006614685E+001         2.0000000000E+000         0.0000000000E+000         3.1215954536E+004         0.0000000000E+000         1.9637119179E+000         1.9790171271E+000         4.1723072777E+002         4.2107362857E+002         5.8892762349E-001         7.4870547860E-001         
2023-04-27                22:54:53.976              116.62145807              2798.914994               117.62145807              1682636093.977            65536                     16448                     1.3999979514E+002         4.4849357605E+001         3.3826312155E+001         4.5311851501E+001         4.5006614685E+001         1.0000000000E+000         0.0000000000E+000         3.1214331136E+004         0.0000000000E+000         1.9637119179E+000         1.9790171271E+000         4.1720363430E+002         4.2107362857E+002         5.8892762349E-001         7.4870547860E-001         
2023-04-27                22:54:54.479              116.62146388              2798.915133               117.62146388              1682636094.479            65536                     16448                     1.4002639301E+002         4.4849357605E+001         3.3812500000E+001         4.5311851501E+001         4.5006614685E+001         3.0000000000E+000         0.0000000000E+000         3.1223642728E+004         0.0000000000E+000         1.9637119179E+000         1.9784944886E+000         4.1720363430E+002         4.2104198935E+002         5.8659713262E-001         7.4579648244E-001         
2023-04-27                22:54:55.905              116.62148039              2798.915529               117.62148039              1682636095.906            65536                     16448                     1.4001092634E+002         4.4861228943E+001         3.3812500000E+001         4.5312034607E+001         4.5006492615E+001         2.0000000000E+000         0.0000000000E+000         3.1222992849E+004         0.0000000000E+000         1.9639454177E+000         1.9784944886E+000         4.1720363430E+002         4.2104198935E+002         5.8659713262E-001         7.4579648244E-001         
2023-04-27                22:54:56.806              116.62149082              2798.915780               117.62149082              1682636096.807            65536                     16448                     1.4000403020E+002         4.4861228943E+001         3.3812500000E+001         4.5312034607E+001         4.5006492615E+001         1.0000000000E+000         0.0000000000E+000         3.1221154875E+004         0.0000000000E+000         1.9639454177E+000         1.9784944886E+000         4.1721560918E+002         4.2104198935E+002         5.8659713262E-001         7.4579648244E-001         
2023-04-27                22:54:57.308              116.62149662              2798.915919               117.62149662              1682636097.308            65536                     16448                     1.3999435190E+002         4.4861228943E+001         3.3872596154E+001         4.5312034607E+001         4.5006492615E+001         3.0000000000E+000         0.0000000000E+000         3.1226297927E+004         0.0000000000E+000         1.9639454177E+000         1.9787187017E+000         4.1721560918E+002         4.2105120640E+002         5.8805542365E-001         7.4761681799E-001         
2023-04-27                22:54:58.733              116.62151311              2798.916315               117.62151311              1682636098.733            65536                     16448                     1.4001568184E+002         4.4861228943E+001         3.3860449735E+001         4.5312034607E+001         4.5006492615E+001         2.0000000000E+000         0.0000000000E+000         3.1228558294E+004         0.0000000000E+000         1.9639307946E+000         1.9787187017E+000         4.1721560918E+002         4.2105120640E+002         5.8805542365E-001         7.4761681799E-001         
2023-04-27                22:54:59.631              116.62152352              2798.916564               117.62152352              1682636099.632            65536                     16448                     1.4000695392E+002         4.4862676738E+001         3.3831354749E+001         4.5312034607E+001         4.5006500116E+001         1.0000000000E+000         0.0000000000E+000         3.1228421406E+004         0.0000000000E+000         1.9639307946E+000         1.9787187017E+000         4.1719324783E+002         4.2105120640E+002         5.8805542365E-001         7.4761681799E-001         
2023-04-27                22:55:00.138              116.62152938              2798.916705               117.62152938              1682636100.138            65536                     16448                     1.4003271602E+002         4.4873008728E+001         3.3826923077E+001         4.5312034607E+001         4.5006553650E+001         3.0000000000E+000         0.0000000000E+000         3.1236787861E+004         0.0000000000E+000         1.9639307946E+000         1.9786963611E+000         4.1719324783E+002         4.2102666406E+002         5.8599640824E-001         7.4504657153E-001         
2023-04-27                22:55:01.572              116.62154598              2798.917104               117.62154598              1682636101.573            65536                     16448                     1.4001100183E+002         4.4873008728E+001         3.3871727749E+001         4.5312034607E+001         4.5006553650E+001         2.0000000000E+000         0.0000000000E+000         3.1235746523E+004         0.0000000000E+000         1.9633600612E+000         1.9786963611E+000         4.1719324783E+002         4.2102666406E+002         5.8599640824E-001         7.4504657153E-001         
2023-04-27                22:55:02.486              116.62155656              2798.917357               117.62155656              1682636102.487            65536                     16448                     1.4000205058E+002         4.4873008728E+001         3.3812500000E+001         4.5312034607E+001         4.5006553650E+001         1.0000000000E+000         0.0000000000E+000         3.1233891035E+004         0.0000000000E+000         1.9633600612E+000         1.9786963611E+000         4.1717603790E+002         4.2102666406E+002         5.8599640824E-001         7.4504657153E-001         
2023-04-27                22:55:02.993              116.62156242              2798.917498               117.62156242              1682636102.993            65536                     16448                     1.4001850422E+002         4.4873008728E+001         3.3836538462E+001         4.5312034607E+001         4.5006553650E+001         3.0000000000E+000         0.0000000000E+000         3.1238847356E+004         0.0000000000E+000         1.9633600612E+000         1.9781159096E+000         4.1717603790E+002         4.2100788642E+002         5.8762670131E-001         7.4708167508E-001         
2023-04-27                22:55:04.437              116.62157914              2798.917899               117.62157914              1682636104.438            65536                     16448                     1.3999630945E+002         4.4875411788E+001         3.3875000000E+001         4.5312015434E+001         4.5006553650E+001         2.0000000000E+000         0.0000000000E+000         3.1235322695E+004         0.0000000000E+000         1.9634697329E+000         1.9781159096E+000         4.1717603790E+002         4.2100788642E+002         5.8762670131E-001         7.4708167508E-001         
2023-04-27                22:55:05.359              116.62158981              2798.918156               117.62158981              1682636105.360            65536                     16448                     1.4002766250E+002         4.4884483337E+001         3.3875000000E+001         4.5311943054E+001         4.5006553650E+001         1.0000000000E+000         0.0000000000E+000         3.1244829733E+004         0.0000000000E+000         1.9634697329E+000         1.9781159096E+000         4.1716975179E+002         4.2100788642E+002         5.8762670131E-001         7.4708167508E-001         
2023-04-27                22:55:05.871              116.62159574              2798.918298               117.62159574              1682636105.872            65536                     16448                     1.4002148438E+002         4.4884483337E+001         3.3875000000E+001         4.5311943054E+001         4.5006553650E+001         3.0000000000E+000         0.0000000000E+000         3.1245773438E+004         0.0000000000E+000         1.9634697329E+000         1.9782467690E+000         4.1716975179E+002         4.2100683122E+002         5.8760482266E-001         7.4705436518E-001         
2023-04-27                22:55:07.298              116.62161225              2798.918694               117.62161225              1682636107.298            65536                     16448                     1.4001313951E+002         4.4884483337E+001         3.3875000000E+001         4.5311943054E+001         4.5006553650E+001         2.0000000000E+000         0.0000000000E+000         3.1245198805E+004         0.0000000000E+000         1.9632236286E+000         1.9782467690E+000         4.1716975179E+002         4.2100683122E+002         5.8760482266E-001         7.4705436518E-001         
2023-04-27                22:55:08.203              116.62162272              2798.918945               117.62162272              1682636108.203            65536                     16448                     1.3999962058E+002         4.4884483337E+001         3.3875000000E+001         4.5311943054E+001         4.5006553650E+001         1.0000000000E+000         0.0000000000E+000         3.1241115540E+004         0.0000000000E+000         1.9632236286E+000         1.9782467690E+000         4.1712913584E+002         4.2100683122E+002         5.8760482266E-001         7.4705436518E-001         
2023-04-27                22:55:08.707              116.62162856              2798.919086               117.62162856              1682636108.708            65536                     16448                     1.4004788149E+002         4.4884483337E+001         3.3875000000E+001         4.5311943054E+001         4.5006553650E+001         3.0000000000E+000         0.0000000000E+000         3.1255857647E+004         0.0000000000E+000         1.9632236286E+000         1.9780034992E+000         4.1712913584E+002         4.2096705887E+002         5.8799692342E-001         7.4754379723E-001         
2023-04-27                22:55:10.131              116.62164503              2798.919481               117.62164503              1682636110.131            65536                     16448                     1.4000027442E+002         4.4892207676E+001         3.3875000000E+001         4.5312077558E+001         4.5006553650E+001         2.0000000000E+000         0.0000000000E+000         3.1246806568E+004         0.0000000000E+000         1.9633017731E+000         1.9780034992E+000         4.1712913584E+002         4.2096705887E+002         5.8799692342E-001         7.4754379723E-001         
2023-04-27                22:55:11.036              116.62165552              2798.919732               117.62165552              1682636111.037            65536                     16448                     1.3999935359E+002         4.4896751404E+001         3.3875000000E+001         4.5312156677E+001         4.5006553650E+001         1.0000000000E+000         0.0000000000E+000         3.1248273045E+004         0.0000000000E+000         1.9633017731E+000         1.9780034992E+000         4.1713052020E+002         4.2096705887E+002         5.8799692342E-001         7.4754379723E-001         
2023-04-27                22:55:11.538              116.62166132              2798.919872               117.62166132              1682636111.538            65536                     16448                     1.3999630737E+002         4.4896751404E+001         3.3875000000E+001         4.5312156677E+001         4.5006553650E+001         3.0000000000E+000         0.0000000000E+000         3.1248769531E+004         0.0000000000E+000         1.9633017731E+000         1.9780706100E+000         4.1713052020E+002         4.2096543765E+002         5.8668679680E-001         7.4590841186E-001         
2023-04-27                22:55:12.967              116.62167786              2798.920269               117.62167786              1682636112.967            65536                     16448                     1.4001810739E+002         4.4896751404E+001         3.3875000000E+001         4.5312156677E+001         4.5006553650E+001         2.0000000000E+000         0.0000000000E+000         3.1257481256E+004         0.0000000000E+000         1.9632323338E+000         1.9780706100E+000         4.1713052020E+002         4.2096543765E+002         5.8668679680E-001         7.4590841186E-001         
2023-04-27                22:55:13.881              116.62168845              2798.920523               117.62168845              1682636113.882            65536                     16448                     1.4001554609E+002         4.4896751404E+001         3.3875000000E+001         4.5312156677E+001         4.5006553650E+001         1.0000000000E+000         0.0000000000E+000         3.1260176774E+004         0.0000000000E+000         1.9632323338E+000         1.9780706100E+000         4.1711583034E+002         4.2096543765E+002         5.8668679680E-001         7.4590841186E-001         
2023-04-27                22:55:14.388              116.62169431              2798.920663               117.62169431              1682636114.388            65536                     16448                     1.4001370239E+002         4.4896751404E+001         3.3875000000E+001         4.5312156677E+001         4.5006553650E+001         3.0000000000E+000         0.0000000000E+000         3.1258380859E+004         0.0000000000E+000         1.9632323338E+000         1.9780000356E+000         4.1711583034E+002         4.2095045359E+002         5.8794851226E-001         7.4748336958E-001         
2023-04-27                22:55:15.818              116.62171086              2798.921061               117.62171086              1682636115.818            65536                     16448                     1.3999060490E+002         4.4908348083E+001         3.3875000000E+001         4.5312187195E+001         4.5006614685E+001         2.0000000000E+000         0.0000000000E+000         3.1256553276E+004         0.0000000000E+000         1.9626237231E+000         1.9780000356E+000         4.1711583034E+002         4.2095045359E+002         5.8794851226E-001         7.4748336958E-001         
2023-04-27                22:55:16.730              116.62172142              2798.921314               117.62172142              1682636116.731            65536                     16448                     1.4000452748E+002         4.4908348083E+001         3.3875000000E+001         4.5312187195E+001         4.5006614685E+001         1.0000000000E+000         0.0000000000E+000         3.1260853494E+004         0.0000000000E+000         1.9626237231E+000         1.9780000356E+000         4.1709891373E+002         4.2095045359E+002         5.8794851226E-001         7.4748336958E-001         
